,index,cluster,silhouette,name
134,47,0,-0.20286827895510604,"['obesity', 'asthma']"
135,241,0,-0.2043106379267556,"['diabetes mellitus', 'obsolete impaired renal function disease', 'hypertension', 'immune system disease', 'respiratory syncytial virus infectious disease']"
136,58,0,-0.20533383553159335,['deficiency anemia']
137,100,0,-0.20533383553159335,['intestinal cancer']
138,179,0,-0.20533383553159346,"['brain disease', 'dementia', 'cysticercosis']"
139,194,0,-0.2056534168499263,['alcohol use disorder']
140,68,0,-0.20602644664140998,"['diabetes mellitus', 'lung disease']"
141,17,0,-0.2105081058318829,['asthma']
142,220,0,-0.21285876188245695,"['osteoarthritis', 'respiratory syncytial virus infectious disease', 'nicotine dependence']"
143,184,0,-0.2129006703149297,"['diabetes mellitus', 'brain disease', 'respiratory syncytial virus infectious disease', 'hypothyroidism']"
144,442,0,-0.21386528167089863,"['diabetes mellitus', 'diabetic neuropathy', 'respiratory syncytial virus infectious disease']"
145,182,0,-0.2159714501682612,"['bladder benign neoplasm', 'respiratory syncytial virus infectious disease']"
146,61,0,-0.23203214392336544,"['diabetes mellitus', 'respiratory syncytial virus infectious disease', 'nicotine dependence']"
147,39,0,-0.23695116619073026,['major depressive disorder']
148,116,0,-0.24811394030737496,"['diabetes mellitus', 'umbilical hernia', 'respiratory syncytial virus infectious disease']"
149,314,0,-0.252737208380208,"['diabetes mellitus', 'lung disease', 'obesity', 'respiratory syncytial virus infectious disease', 'nicotine dependence']"
150,14,0,-0.26850521763334767,['obsolete impaired renal function disease']
151,110,0,-0.27770342791587016,"['alcohol use disorder', 'respiratory syncytial virus infectious disease']"
152,322,0,-0.2919352672641471,"['diabetes mellitus', 'lung disease', 'respiratory syncytial virus infectious disease', 'asthma']"
153,416,0,-0.30193058939557704,"['hypertension', 'immune system disease', 'respiratory syncytial virus infectious disease']"
154,25,0,-0.3138603964517261,['hypothyroidism']
155,391,0,-0.31698955893187203,"['hypertension', 'respiratory syncytial virus infectious disease', 'asthma']"
156,236,0,-0.31744830087243225,"['diabetes mellitus', 'bipolar disorder']"
157,447,0,-0.32879547471793696,"[""Parkinson's disease"", 'congestive heart failure']"
158,107,0,-0.3329390179116454,"['chronic obstructive pulmonary disease', 'obesity']"
159,75,0,-0.3550497147520835,"['obesity', 'hypothyroidism']"
160,324,0,-0.3592747378727747,"['rheumatoid arthritis', 'obesity', 'respiratory syncytial virus infectious disease']"
161,186,0,-0.36433585124515416,"['major depressive disorder', 'immune system disease', 'obesity', 'respiratory syncytial virus infectious disease']"
162,464,0,-0.36537925528448784,"['diabetes mellitus', 'acute myocardial infarction', 'hypertension', 'respiratory syncytial virus infectious disease']"
163,161,0,-0.3765537340391769,"['diabetes mellitus', 'generalized anxiety disorder', 'respiratory syncytial virus infectious disease']"
164,138,0,-0.3778724726112143,"['diabetes mellitus', 'respiratory syncytial virus infectious disease', 'benign neoplasm']"
165,56,0,-0.38393055423459765,"['obsolete impaired renal function disease', 'hypertension', 'respiratory syncytial virus infectious disease']"
166,74,0,-0.43424649627507755,"['diabetes mellitus', 'obsolete impaired renal function disease', 'hypertension']"
167,70,0,-0.4455674595579778,"['diabetes mellitus', 'obsolete impaired renal function disease', 'hypertension', 'respiratory syncytial virus infectious disease']"
168,7,1,0.452408320516088,"['diabetes mellitus', 'hypertension']"
169,28,1,0.41812698927531416,"['lipid metabolism disorder', 'respiratory syncytial virus infectious disease']"
170,290,1,0.3585365406216704,"['diabetes mellitus', 'brain disease', ""Parkinson's disease"", 'respiratory syncytial virus infectious disease']"
171,16,1,0.3469270336174691,"['diabetes mellitus', 'brain disease', 'respiratory syncytial virus infectious disease']"
172,3,1,0.33682492851878404,['diabetes mellitus']
173,233,1,0.3358124816460958,"['diabetes mellitus', 'liver disease', 'atherosclerosis', 'hypertension', 'respiratory syncytial virus infectious disease', 'liver cancer']"
174,456,1,0.3315047180661426,"['chronic obstructive pulmonary disease', 'hypertension']"
175,139,1,0.32922641030463823,"['diabetes mellitus', 'chronic obstructive pulmonary disease', 'respiratory syncytial virus infectious disease', 'asthma']"
176,392,1,0.32832933467594483,"['cervical cancer', 'acute kidney failure', 'respiratory syncytial virus infectious disease']"
177,276,1,0.32699941396387766,"['diabetes mellitus', 'liver disease', 'lung disease']"
178,286,1,0.3265170126700999,"['diabetes mellitus', 'lung disease', 'obesity']"
179,349,1,0.32647094726807896,"['brain disease', 'immune system disease']"
180,229,1,0.3262589498319624,"['diabetes mellitus', 'cerebrovascular disease', 'obesity', 'respiratory syncytial virus infectious disease']"
181,105,1,0.32550239701686745,"[""Parkinson's disease"", 'respiratory syncytial virus infectious disease']"
182,351,1,0.3243461889871101,"['brain disease', 'hypothyroidism']"
183,5,1,0.32327724222303006,['hypertension']
184,235,1,0.3226963160228693,"['oropharynx cancer', 'respiratory syncytial virus infectious disease']"
185,421,1,0.3226963160228693,"['psychotic disorder', 'generalized anxiety disorder']"
186,359,1,0.32269631602286925,"['brain disease', 'cerebrovascular disease', 'Down syndrome', 'respiratory syncytial virus infectious disease']"
187,150,1,0.3224992936344766,['arthritis']
188,51,1,0.322284458858459,"['hypertension', 'obesity']"
189,140,1,0.322284458858459,"['hypertension', 'immune system disease']"
190,193,1,0.322284458858459,"['diabetes mellitus', 'brain disease', 'respiratory syncytial virus infectious disease', 'asthma']"
191,200,1,0.322284458858459,"['diabetes mellitus', 'breast cancer', 'obesity', 'respiratory syncytial virus infectious disease']"
192,211,1,0.322284458858459,"['diabetes mellitus', 'lipid metabolism disorder', 'respiratory syncytial virus infectious disease', 'hyperthyroidism']"
193,230,1,0.322284458858459,"['brain disease', 'respiratory syncytial virus infectious disease', 'nicotine dependence']"
194,301,1,0.322284458858459,"['laryngeal benign neoplasm', 'respiratory syncytial virus infectious disease']"
195,306,1,0.322284458858459,"['diabetes mellitus', 'acute kidney failure', 'obesity', 'respiratory syncytial virus infectious disease']"
196,339,1,0.322284458858459,['bipolar disorder']
197,384,1,0.3222844588584589,"['urinary bladder cancer', 'immune system disease', 'respiratory syncytial virus infectious disease']"
